,,,,,,
,,Price,Available Colours,,Length/Weight,Specifications
Premium Synthetic Fibres,Deep Wave ,£7.99,"#1B, #4, #24,#27, #30, BUG, #30/33, 27/33, C14,C15, #1B/27, #1B/30, #1B/33,#1B/BUG, 27/613  ",,"20 Inches, 80g/pack","- Weighs 80g 
- Made with 100% Remy synthetic fiber
- Feels soft and natural, similar to human hair
- Delivers the luxurious look and feel of human hair at a fraction of the cost
- Heat resistant for flexible styling
- Ideal for ponytails, partial installs, or full-head weaves
- High-quality, durable fibers for a sleek and polished finish"
,Loose Curl,£7.99,"#1B, #4, #24,#27, #30, BUG, #30/33, 27/33, C14,C15, #1B/27, #1B/30, #1B/33,#1B/BUG, 27/613  ",,"22 Inches, 75g/pack","- Weighs 75g
- Loose curl braiding hair for a soft, romantic finish
- Adds volume, movement, and natural-looking curls
- Lightweight with a defined, bouncy texture
- Perfect for Boho braids, Goddess braids, and Knotless braids
- Ideal for Passion twists, crochet styles, and protective hairstyles
- Designed for trendy, effortless, and versatile styling"
,French Curls,£7.99,"#1B, #27, T33, T27,T30, T33, #350, TBUG, C14,C15, 27/613,27/30, 27/33, 30/613  ",,"24 Inches, 150g/pack","- Weighs 150g
- Spiral French Curl synthetic braid for added length and volume
- High-quality synthetic fibre with defined, bouncy curls
- Flame resistant for safer styling
- Hot-water set friendly – shape and customise curls with ease
- Ideal for braids, twists, and creative protective styles
- Lightweight and versatile for enhanced flair and long-lasting style"
,3X Pre-Stretched Braids,£6.99,"#1,#1B,#2, #27, #30, #240, #99J, #350, T1B/27,T1B/30, T1B/350, T1B/900, T4/27,C6,C21,C26,T1B/SILVER,T1B/SF4 ",,"26 Inches, 180g/pack","- Each bundle weighs 180g
- 3X Pre-Stretched synthetic braiding hair for faster, stress-free installation
- High-quality synthetic fiber with a soft, lightweight feel
- Natural look and texture for a clean, polished finish
- Time-saving pre-stretched design reduces prep and tangling
- Durable and long-lasting for extended wear
- Ideal for braids, twists, and protective styles
- Allows for versatile styling with extra length and volume"
,Bone Straight Braid Extension,£9.99,"T1/33, T1/30,T1/BUG, T1/350, T1/GREY, P27/30,P27/33,P27/613, P27/30/613, P30/33, P30/613, OT4/30, OT30/27, OT4/GOLD, C15, BUG, 99J, 32, 30, 2, 1B",,"24, 26 Inches, 150g/pack","- Weighs 150g
- Made from high-quality synthetic fibre
- 5–6 bundles recommended for a full, voluminous look
- Shedding-free and tangle-free for easy maintenance
- Soft, silky, and lustrous strands with a natural feel
- Suitable for all hair textures"
,Vixen Crotchet Bundles,£10.99,"#1B,#30, T1B/27, P27/613, #350, T1B/#30",,"26 Inches, 60g/pack","- Weighs 60g
- Made with low-temperature premium synthetic fiber
- 3–4 packs recommended for a full-head installation
- Soft, lightweight, and natural-looking strands
- Ideal for vixen crochet installs with seamless parting and natural leave-out
- No visible tracks for a flawless finish
- Blends beautifully with natural hair, especially Black hair textures
- Suitable for everyday wear and special occasions
- Offers versatility, realism, and confident styling"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,We need to discuss delivery charges,,,,,
