,,,,,Price,Duration
,,,,,,
,,,,,,
,Takedown Services,,,,20/Hour ,
,,,,,,
,Wash and Go,,,,£40,
,,,,,,
,Wash & Style,,,,£60,2h
,,,,,,
,Hair Trim,Blunt Trim,,,£15,1 hour
,,Section Trim,,,£25,1 hour
,,,,,,
,Pixie Cut,Relaxer & Styling,,,£120,2h 30
,,Treatment & Style Short Pixie Hair,,,£90,3h
,,,,,,
,Silk Press ,,,,£95,2 hours 30 minutes
,,,,,,
,Deep Conditioner Treatment,,,,£60,1 hour 30 minutes
,,,,,,
,Protein Strengthening,,,,£65,1 hour 30 minutes
,,,,,,
,Natural Hair Twist ,,,,£70,3 hours 
,,,,,,
,Corn Rows,,,,£90,3 hours 
,,,,,,
,Ayurvedic Hair Mask Treatment,,,,£90,2 h
,WASH AD-ON,,,,,
,Detangle & Blow Dry,,45mins,£25,,
,,,,,,
,"Detangle, Wash & Blow Dry",,1Hr,£35,,
,,,,,,
,Blow Dry,,20mins,£10,,
,,,,,,
,Hair Stem,,30mins,£30,,
,,,,,,
,Wash & Blow Dry,,40mins,£20,,
,,,,,,
,"Wash, Stem & Blow Dry",,1hr,£50,,
,,,,,,
,Conrrows + Singles ,,1hr,£40,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,2-3 Cornrows,1hr,£30,,,
,,,,,,
,6-10 Cornrows ,1hr,£40,,,
,,,,,,
,Combo Twist,4hrs,£80,,,
,,,,,,
,Stitch Cornrows,2hrs 30min,£40,,,
