,,,,,
,,,,,
,Services Under Twist,Length,Size,Duration,Price
Should just be Loose Twist not Twist + Extention,Twist + Extension ,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,
,,,,,
,,,,,
,,Length,Size,Duration,Price
,Kinky Twist,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,
,,,,,
,,Length,Size,Duration,Price
,Afro Kinky Bulk,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,
,,,,,
,,Length,Size,Duration,Price
,Micro Twist ,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,
,,,,,
,,,,,
,,Length,Size,Duration,Price
,Boho Twists,Shoulder Length,"Large, Medium, SMedium,Small, Extra Small",,"£100, £120, £130, £150, £160"
,,Mid Length,"Large, Medium, SMedium,Small, Extra Small",,"£110, £130, £150, £160, £170"
,,Waist Length,"Large, Medium, SMedium,Small, Extra Small",,"£110, £140, £170, £190, £210"
,,Bum Length,"Large, Medium, SMedium,Small, Extra Small",,"£120, £150, £180, £200, £220"
,,,,,
,,,,,
,Spring Twist,,,,
